"","id","birth_year","education","marital_status","income","kids_in_home","teens_in_home","cust_enrollment_date","days_since_last_purchase","fruit_purchases","meat_purchases","fish_purchases","candy_purchases","sale_purchases","web_purchases","catalog_purchases","in_store_purchases","web_visits_monthly","complaint","marketing_cost_z_score","revenue_z_score"
"1",5524,1957,"Graduation","Single",58138,0,0,"04-09-2012",58,88,546,172,88,3,8,10,4,7,0,3,11
"2",2174,1954,"Graduation","Single",46344,1,1,"08-03-2014",38,1,6,2,1,2,1,1,2,5,0,3,11
"3",4141,1965,"Graduation","Together",71613,0,0,"21-08-2013",26,49,127,111,21,1,8,2,10,4,0,3,11
"4",6182,1984,"Graduation","Together",26646,1,0,"10-02-2014",26,4,20,10,3,2,2,0,4,6,0,3,11
"5",5324,1981,"PhD","Married",58293,1,0,"19-01-2014",94,43,118,46,27,5,5,3,6,5,0,3,11
"6",7446,1967,"Master","Together",62513,0,1,"09-09-2013",16,42,98,0,42,2,6,4,10,6,0,3,11
"7",965,1971,"Graduation","Divorced",55635,0,1,"13-11-2012",34,65,164,50,49,4,7,3,7,6,0,3,11
"8",6177,1985,"PhD","Married",33454,1,0,"08-05-2013",32,10,56,3,1,2,4,0,4,8,0,3,11
"9",4855,1974,"PhD","Together",30351,1,0,"06-06-2013",19,0,24,3,3,1,3,0,2,9,0,3,11
"10",5899,1950,"PhD","Together",5648,1,1,"13-03-2014",68,0,6,1,1,1,1,0,0,20,0,3,11
"11",387,1976,"Basic","Married",7500,0,0,"13-11-2012",59,16,11,11,1,1,2,0,3,8,0,3,11
"12",2125,1959,"Graduation","Divorced",63033,0,0,"15-11-2013",82,61,480,225,112,1,3,4,8,2,0,3,11
"13",8180,1952,"Master","Divorced",59354,1,1,"15-11-2013",53,2,53,3,5,3,6,1,5,6,0,3,11
"14",2569,1987,"Graduation","Married",17323,0,0,"10-10-2012",38,14,17,6,1,1,1,0,3,8,0,3,11
"15",2114,1946,"PhD","Single",82800,0,0,"24-11-2012",23,22,115,59,68,1,7,6,12,3,0,3,11
"16",9736,1980,"Graduation","Married",41850,1,1,"24-12-2012",51,5,19,2,13,3,3,0,3,8,0,3,11
"17",4939,1946,"Graduation","Together",37760,0,0,"31-08-2012",20,5,38,150,12,2,4,1,6,7,0,3,11
"18",6565,1949,"Master","Married",76995,0,1,"28-03-2013",91,80,498,0,16,2,11,4,9,5,0,3,11
"19",2278,1985,"2n Cycle","Single",33812,1,0,"03-11-2012",86,17,19,30,24,2,2,1,3,6,0,3,11
"20",9360,1982,"Graduation","Married",37040,0,0,"08-08-2012",41,2,73,69,38,1,4,2,5,8,0,3,11
"21",5376,1979,"Graduation","Married",2447,1,0,"06-01-2013",42,1,1725,1,1,15,0,28,0,1,0,3,11
