"","student_id","hours_studied","attendance","parental_involvement","access_to_resources","sleep_hours","previous_scores","internet_access","family_income","teacher_quality","school_type","gender","exam_score"
"1",1,23,84,"Low","High",7,73,"Yes","Low","Medium","Public","Male",67
"2",2,19,64,"Low","Medium",8,59,"Yes","Medium","Medium","Public","Female",61
"3",3,24,98,"Medium","Medium",7,91,"Yes","Medium","Medium","Public","Male",74
"4",4,29,89,"Low","Medium",8,98,"Yes","Medium","Medium","Public","Male",71
"5",5,19,92,"Medium","Medium",6,65,"Yes","Medium","High","Public","Female",70
"6",6,19,88,"Medium","Medium",8,89,"Yes","Medium","Medium","Public","Male",71
"7",7,29,84,"Medium","Low",7,68,"Yes","Low","Medium","Private","Male",67
"8",8,25,78,"Low","High",6,50,"Yes","High","High","Public","Male",66
"9",9,17,94,"Medium","High",6,80,"Yes","Medium","Low","Private","Male",69
"10",10,23,98,"Medium","Medium",8,71,"Yes","High","High","Public","Male",72
"11",11,17,80,"Low","High",8,88,"No","Medium","High","Private","Male",68
"12",12,17,97,"Medium","High",6,87,"Yes","Low","High","Private","Male",71
"13",13,21,83,"Medium","Medium",8,97,"Yes","Medium","Medium","Public","Male",70
"14",14,9,82,"Medium","Medium",8,72,"Yes","Medium","Medium","Private","Male",66
"15",15,10,78,"Medium","High",8,74,"Yes","Low","Medium","Private","Male",65
"16",16,17,68,"Medium","Medium",8,70,"Yes","Medium","Medium","Private","Female",64
"17",17,14,60,"Medium","Low",10,65,"Yes","High","Medium","Private","Male",60
"18",18,22,70,"Low","Medium",6,82,"Yes","Low","High","Public","Female",65
"19",19,15,80,"Medium","Medium",9,91,"Yes","Low","Medium","Public","Female",67
"20",20,12,75,"Medium","High",7,58,"Yes","Medium","Medium","Private","Male",66
"21",21,29,78,"Medium","Medium",5,99,"Yes","High","Medium","Public","Female",69
"22",22,19,99,"Medium","High",6,84,"Yes","Medium","High","Public","Male",72
"23",23,20,74,"Medium","High",8,89,"Yes","Medium","Medium","Public","Female",66
"24",24,11,78,"High","Medium",8,100,"Yes","Low","Medium","Public","Male",66
"25",25,17,65,"Low","High",5,75,"Yes","Low","Medium","Public","Female",63
"26",26,21,62,"High","Low",6,54,"Yes","High","High","Public","Male",64
"27",27,13,91,"Low","Medium",6,90,"Yes","High","Medium","Public","Female",65
"28",28,22,83,"High","High",6,94,"Yes","High","Medium","Public","Male",71
"29",29,16,90,"Medium","Medium",4,58,"Yes","Low","Medium","Public","Female",66
"30",30,18,66,"High","High",4,51,"Yes","Low","Medium","Private","Male",64
"31",31,16,83,"Low","Medium",6,57,"Yes","High","Low","Public","Female",63
"32",32,31,70,"Medium","High",7,66,"Yes","High","Medium","Public","Male",69
"33",33,20,69,"Medium","Medium",8,96,"Yes","Medium","High","Public","Male",67
"34",34,14,60,"High","Medium",5,50,"Yes","Medium","Medium","Public","Female",61
"35",35,25,65,"High","Medium",5,90,"Yes","Medium","Medium","Public","Female",68
"36",36,13,72,"Low","Medium",6,93,"Yes","Low","Medium","Public","Male",61
"37",37,21,65,"Medium","Low",7,91,"Yes","Medium","High","Public","Female",64
"38",38,8,99,"Medium","Medium",9,54,"Yes","Low","Medium","Public","Female",67
"39",39,12,72,"Low","Medium",8,84,"Yes","Low","Medium","Public","Female",63
"40",40,21,65,"Low","Medium",6,98,"Yes","Medium","High","Public","Male",64
"41",41,24,68,"High","Medium",8,56,"Yes","High","High","Public","Male",67
"42",42,21,84,"Medium","Medium",6,52,"Yes","Medium","High","Public","Female",65
"43",43,19,63,"Low","High",7,94,"Yes","Medium","Medium","Private","Male",64
"44",44,18,94,"Medium","High",7,82,"Yes","Medium","Medium","Private","Male",70
"45",45,11,98,"Medium","Medium",9,82,"Yes","Medium","Medium","Private","Male",68
"46",46,16,70,"Medium","Medium",8,98,"Yes","Medium","Medium","Public","Male",65
"47",47,17,78,"Medium","Medium",6,88,"Yes","Medium","High","Private","Female",68
"48",48,26,61,"Medium","Low",6,70,"Yes","Low","Medium","Public","Female",64
"49",49,22,86,"Low","Medium",7,72,"Yes","Low","High","Public","Male",68
"50",50,9,77,"Medium","Medium",5,57,"Yes","Medium","High","Public","Male",63
"51",51,22,71,"Low","Medium",7,65,"Yes","Medium","Low","Public","Male",64
"52",52,18,68,"High","Medium",7,72,"Yes","Medium","Medium","Public","Male",64
"53",53,16,86,"Low","Medium",8,63,"Yes","Medium","Medium","Public","Male",67
"54",54,24,77,"High","Low",8,96,"Yes","Medium","Medium","Public","Female",67
"55",55,26,67,"Medium","High",7,51,"Yes","High","High","Private","Female",66
"56",56,26,88,"Medium","High",5,79,"Yes","Low","High","Private","Male",72
"57",57,15,83,"Medium","High",5,89,"No","Medium","High","Public","Female",65
"58",58,18,94,"Medium","Medium",6,87,"Yes","Medium","Medium","Public","Male",71
"59",59,22,65,"High","Low",8,82,"Yes","Medium","High","Public","Female",66
"60",60,26,91,"Medium","Low",8,71,"Yes","Low","Medium","Private","Male",68
"61",61,17,87,"Medium","Medium",7,96,"Yes","High","Medium","Public","Female",70
"62",62,19,65,"Medium","Medium",10,66,"Yes","Low","Medium","Public","Male",62
"63",63,13,88,"Low","High",9,88,"Yes","Low","High","Private","Male",68
"64",64,13,78,"Medium","High",9,96,"Yes","Low","Medium","Public","Male",67
"65",65,25,98,"Low","High",8,56,"No","Medium","High","Private","Male",71
"66",66,28,66,"Medium","High",8,97,"Yes","Medium","Medium","Public","Male",68
"67",67,20,86,"Medium","Medium",8,89,"Yes","Low","Medium","Public","Male",69
"68",68,26,75,"Low","High",4,81,"Yes","Medium","High","Private","Male",70
"69",69,22,98,"Medium","High",5,69,"No","Low","High","Public","Female",69
"70",70,16,73,"Medium","Medium",7,95,"Yes","Low","Medium","Public","Male",65
"71",71,22,98,"Medium","Low",7,52,"No","Medium","Medium","Public","Female",70
